timestamp,pos1,pos2,pos3,pos4,pos5,pos6,vel1,vel2,vel3,vel4,vel5,vel6
15.098,-0.047884,-0.020866,0.258646,-0.080651,0.355759,0.255801,3.190983,-2.733761,-3.020782,-1.098236,-1.574593,-1.384254
15.118,0.005055,-0.08071,0.207626,-0.112875,0.321234,0.223194,1.813276,-2.765987,-2.198994,-1.89183,-2.066055,-2.052963
15.139,0.013878,-0.134415,0.187295,-0.143946,0.270214,0.174475,-0.326801,-2.862667,0.12236,-1.362095,-2.544426,-2.50515
15.159,-0.009138,-0.199246,0.196501,-0.156222,0.215357,0.123071,-1.441658,-3.151707,1.019684,0.201923,-2.297688,-2.964386
15.179,-0.042513,-0.258322,0.220285,-0.137808,0.165104,0.059008,-1.934128,-3.034882,0.997528,1.363104,-2.676357,-3.248386
15.199,-0.08893,-0.321234,0.228341,-0.105201,0.106794,0.009522,-2.3843,-2.819363,-0.262348,1.784069,-2.7962,-1.992538
15.219,-0.139566,-0.373022,0.212229,-0.078349,0.052705,-0.005438,-2.776058,-2.600822,-1.014648,0.841427,-2.935181,0.180775
15.239,-0.201328,-0.422123,0.183458,-0.075663,-0.00637,0.013742,-3.027832,-2.19698,-1.869671,-0.005539,-3.197025,1.332891
15.259,-0.260788,-0.462019,0.133206,-0.086021,-0.066598,0.051336,-3.128544,-2.021744,-2.898926,-0.86459,-2.440697,2.092241
15.279,-0.31411,-0.491175,0.074896,-0.112491,-0.090382,0.095067,-1.865643,-0.935089,-3.230259,-1.493019,-0.080063,2.352072
15.299,-0.324083,-0.496162,0.004695,-0.146248,-0.075037,0.13995,0.312702,0.096176,-3.309818,-2.034836,1.138521,1.602793
15.32,-0.302602,-0.490024,-0.054764,-0.197269,-0.044348,0.148773,1.40943,0.519157,-3.082214,-2.598808,1.881758,-0.313709
15.34,-0.26961,-0.469691,-0.109621,-0.244453,0.003987,0.127291,1.957291,1.326849,-1.973404,-2.294666,2.472923,-1.403389
15.36,-0.222044,-0.4344,-0.124965,-0.27821,0.056925,0.0943,2.413504,1.927076,0.142506,-0.540306,2.91403,-1.929092
15.38,-0.170255,-0.397573,-0.110772,-0.26862,0.125208,0.045966,2.825407,1.976425,1.220097,0.848476,3.402472,-2.399406
