time,tensor_0,tensor_1,tensor_2,tensor_3,tensor_4,tensor_5,tensor_6,tensor_7,tensor_8,tensor_9,tensor_10,tensor_11,tensor_12,tensor_13,tensor_14,tensor_15,tensor_16,tensor_17,tensor_18,tensor_19,tensor_20,tensor_21,tensor_22
0.9,0.565093636512756,-0.678114175796509,-0.343982636928558,-0.32016596198082,-0.183840706944466,-0.00342780351638794,0.230770945549011,-0.0469216108322144,0.29664409160614,0.0739077180624008,1.16689109802246,0.766233444213867,0.805992305278778,1.39326333999634,1.14725029468536,2.24450016021729,1,-1,-1,1,1,1,1
0.92,0.583046197891235,-0.650476038455963,-0.366641134023666,-0.320175349712372,-0.148110017180443,-0.00697672367095947,0.235357046127319,-0.0131630897521973,0.304652452468872,0.119705453515053,1.5243114233017,0.0850435271859169,0.138090223073959,1.47207021713257,0.224432647228241,2.56386876106262,1,-1,-1,1,-1,1,1
0.94,0.604475736618042,-0.619762778282166,-0.384544402360916,-0.320357233285904,-0.131300032138824,-0.0191633105278015,0.228945255279541,0.010697603225708,0.30183732509613,0.18390953540802,0.697759807109833,-0.382856428623199,-0.402575314044952,0.898585498332977,-0.227897241711617,3.19624185562134,-1,-1,-1,-1,-1,-0.999841809272766,1
0.96,0.627988755702972,-0.585913181304932,-0.399416297674179,-0.320627868175507,-0.106485977768898,-0.0402172207832336,0.211526155471802,0.0225009918212891,0.292495787143707,0.259082019329071,1.02654576301575,-0.764706313610077,-0.836325645446777,0.344772636890411,-0.530262172222137,2.00588822364807,1,-1,-1,-1,-1,-1,1
0.98,0.644183099269867,-0.568188309669495,-0.406868875026703,-0.310882180929184,-0.0769250243902206,-0.0553985834121704,0.18502151966095,0.00754857063293457,0.275958120822906,0.273051261901855,1.11052119731903,-0.744449973106384,-1.32639133930206,-0.467448353767395,-0.959749937057495,-0.839819073677063,1,-1,-1,-1,-1,-1,1
1,0.655987441539764,-0.560209512710571,-0.40573188662529,-0.302038490772247,-0.0665884464979172,-0.0721091628074646,0.175290703773499,-0.0102729797363281,0.247160255908966,0.246567204594612,0.510248959064484,-1.07557511329651,-0.45553719997406,-0.849457502365112,-1.30982232093811,-1.20527803897858,-1,-1,1,-1,-1,-1,1
1.02,0.666902601718903,-0.556016325950623,-0.395037204027176,-0.300053656101227,-0.0676802843809128,-0.10135942697525,0.177520871162415,-0.0168693065643311,0.212947130203247,0.213429033756256,-0.00515162944793701,-1.64901161193848,0.153494894504547,-0.241528958082199,-1.57319307327271,-1.50333774089813,-1,-1,1,1,-1,-1,1
1.04,0.673643708229065,-0.554734826087952,-0.381996810436249,-0.304223537445068,-0.0744865536689758,-0.145682156085968,0.171467781066895,-0.0124473571777344,0.174354672431946,0.174917325377464,-0.381663858890533,-1.94636881351471,-0.331528782844543,0.292290329933167,-1.79863429069519,-1.74902391433716,-1,-1,-1,1,-1,-1,1
1.06,0.675914466381073,-0.556883931159973,-0.370657473802567,-0.309245765209198,-0.0911127179861069,-0.193001627922058,0.156082034111023,-0.0186562538146973,0.131120085716248,0.13208070397377,-0.930049300193787,-1.95552611351013,-0.849632680416107,-0.259555071592331,-2.00121998786926,-1.94878482818604,-1,-1,-1,-1,-1,-1,1
1.08,0.674262762069702,-0.562025249004364,-0.360660135746002,-0.315311878919601,-0.116159349679947,-0.243525326251984,0.131786704063416,-0.0355685949325562,0.0844306945800781,0.10823567211628,-1.3164027929306,-2.16655540466309,-1.26601719856262,-0.774647653102875,-2.14702916145325,-1.08213317394257,-1,-1,-1,-1,-1,1,1
1.1,0.668389678001404,-0.569882810115814,-0.351821750402451,-0.323589622974396,-0.147781044244766,-0.294889986515045,0.100889563560486,-0.0601978302001953,0.0347315669059753,0.100018873810768,-1.61615109443665,-2.34981942176819,-1.61371529102325,-1.2214252948761,-2.26297616958618,-0.373190581798553,-1,-1,-1,-1,-0.999993026256561,1,1
1.12,0.657609581947327,-0.580047726631165,-0.344605982303619,-0.335172891616821,-0.161214873194695,-0.345661640167236,0.0654234886169434,-0.0895826816558838,0.00474834442138672,0.10461713373661,-0.600956797599793,-2.29572939872742,-1.60077571868896,-1.33524715900421,-1.35926711559296,0.208990916609764,1,-1,-1,-1,1,1,1
1.14,0.640828669071198,-0.591650068759918,-0.340631037950516,-0.351082921028137,-0.16168874502182,-0.382124990224838,0.0238984823226929,-0.12740969657898,-0.00786310434341431,0.119714051485062,-0.0386402122676373,-1.63094294071198,-1.96077954769135,-1.8642965555191,-0.53783643245697,0.682679712772369,1,1,-1,-1,1,1,1
1.16,0.618575096130371,-0.605135858058929,-0.342549204826355,-0.365835130214691,-0.157374158501625,-0.399639904499054,-0.0242950916290283,-0.171765327453613,-0.00626206398010254,0.120798349380493,0.0434201546013355,-0.815755665302277,-2.36243987083435,-2.14332604408264,0.0801669135689735,0.0459052212536335,1,1,-1,-0.999999582767487,1,-1,1
1.18,0.593928217887878,-0.621454358100891,-0.34454071521759,-0.377273678779602,-0.153924360871315,-0.400786757469177,-0.0595076084136963,-0.201540112495422,0.00700980424880981,0.110303297638893,-0.0130747556686401,0.239797294139862,-1.57558870315552,-1.2015266418457,0.574418663978577,-0.475243330001831,1,1,1,1,1,-1,1
1.2,0.569461345672607,-0.640159964561462,-0.346004366874695,-0.382347792387009,-0.143489256501198,-0.388133138418198,-0.0785324573516846,-0.213918924331665,0.0288969874382019,0.0904087573289871,0.540187954902649,0.53073251247406,-0.78528243303299,-0.428218841552734,0.966914832592011,-0.905547440052033,1,1,1,1,1,-1,1
1.22,0.556115448474884,-0.657686948776245,-0.334899455308914,-0.382133036851883,-0.130687057971954,-0.380811959505081,-0.0738222599029541,-0.199230074882507,0.0372328758239746,0.0393222272396088,0.653445839881897,0.941397726535797,0.101698115468025,0.725854516029358,0.694324433803558,-2.06596612930298,-1,1,1,1,1,-1,1
1.24,0.548442721366882,-0.672341287136078,-0.319501966238022,-0.380901992321014,-0.131143912672997,-0.353908658027649,-0.0662250518798828,-0.180854797363281,0.0504578948020935,-0.0200625956058502,-0.114186748862267,1.39225339889526,0.462825983762741,0.901933789253235,1.31315290927887,-2.43845176696777,-1,1,1,1,1,-1,1
1.26,0.542452335357666,-0.684211373329163,-0.305109888315201,-0.380142331123352,-0.142194420099258,-0.320072948932648,-0.0514371395111084,-0.160839676856995,0.0578017234802246,-0.0814292430877686,-0.56719845533371,1.67421925067902,0.662741899490356,1.11495780944824,0.779472231864929,-1.86349129676819,-1,1,1,1,1,-1,1
1.28,0.539458990097046,-0.692571759223938,-0.296078354120255,-0.376385390758514,-0.163117244839668,-0.27984231710434,-0.0294053554534912,-0.135301232337952,0.075604259967804,-0.0955343544483185,-1.00086879730225,1.90338802337646,1.01073777675629,1.27141892910004,1.20807421207428,0.116881355643272,-1,1,1,1,1,1,1
1.3,0.541195631027222,-0.697324216365814,-0.295525103807449,-0.365391552448273,-0.190566077828407,-0.236014485359192,0.000606775283813477,-0.126474022865295,0.0979948043823242,-0.0813679397106171,-1.16622745990753,1.93151319026947,1.17662644386292,0.527376174926758,1.19613027572632,1.44397139549255,-1,1,1,-1,1,1,1
1.32,0.544968962669373,-0.698284327983856,-0.306770652532578,-0.348280847072601,-0.225999653339386,-0.186586618423462,0.0348739624023437,-0.123233318328857,0.133492588996887,-0.0460909903049469,-1.65053153038025,2.27684926986694,1.59791171550751,0.426589369773865,2.10322308540344,0.997556865215302,-1,1,1,-1,1,1,1
1.34,0.54894495010376,-0.696434080600739,-0.325752913951874,-0.327908515930176,-0.244087696075439,-0.1358762383461,0.0782784223556519,-0.122460961341858,0.185242652893066,-0.0205923318862915,-0.763850390911102,2.24958658218384,2.2155909538269,-0.168736562132835,2.66057825088501,1.39455306529999,1,1,1,-1,1,1,1
1.36,0.554411172866821,-0.692558765411377,-0.340727508068085,-0.311280071735382,-0.245077356696129,-0.0896432995796204,0.129622101783752,-0.119942903518677,0.230558097362518,-0.00211653113365173,-0.0104626175016165,2.19194269180298,2.49920773506165,0.0676291510462761,2.13466811180115,1.04926776885986,1,1,1,1,-1,1,1
